edadDias,SD3negPEF,SD2negPEF,SD1negPEF,SD0PEF,SD1PEF,SD2PEF,SD3PEF,SD3negPEM,SD2negPEM,SD1negPEM,SD0PEM,SD1PEM,SD2PEM,SD3PEM,SD3negTEF,SD2negTEF,SD1negTEF,SD0TEF,SD1TEF,SD2TEF,SD3TEF,SD3negTEM,SD2negTEM,SD1negTEM,SD0TEM,SD1TEM,SD2TEM,SD3TEM,SD3negIEF,SD2negIEF,SD1negIEF,SD0IEF,SD1IEF,SD2IEF,SD3IEF,SD3negIEM,SD2negIEM,SD1negIEM,SD0IEM,SD1IEM,SD2IEM,SD3IEM,Rotulo,SD15negPEF,SD15negPEM,SD15PEF,SD15PEM,SD15negTEF,SD15negTEM,SD15TEF,SD15TEM,SD15negIEF,SD15negIEM,SD15IEF,SD15IEM
3511,19.410,22.250,25.807,30.373,36.360,44.487,55.927,19.777,22.423,25.717,29.907,35.377,42.740,53.063,117.358,123.646,129.936,136.224,142.514,148.802,155.092,117.060,123.294,129.527,135.761,141.995,148.229,154.462,12.262,13.333,14.671,16.401,18.745,22.149,27.663,12.685,13.631,14.797,16.277,18.243,21.021,25.350,NULL,24.028,24.070,40.423,39.058,126.791,126.411,145.658,145.112,14.002,14.214,20.447,19.632
3512,19.416,22.257,25.815,30.384,36.373,44.503,55.949,19.781,22.429,25.723,29.915,35.388,42.756,53.087,117.373,123.662,129.952,136.241,142.532,148.821,155.111,117.071,123.306,129.541,135.776,142.010,148.245,154.480,12.263,13.334,14.672,16.402,18.747,22.152,27.668,12.686,13.632,14.798,16.278,18.245,21.023,25.355,NULL,24.036,24.076,40.438,39.072,126.807,126.424,145.676,145.128,14.003,14.215,20.450,19.634
3513,19.422,22.264,25.824,30.394,36.386,44.520,55.972,19.786,22.434,25.730,29.924,35.400,42.772,53.110,117.387,123.678,129.968,136.259,142.549,148.840,155.130,117.082,123.319,129.554,135.790,142.026,148.262,154.497,12.264,13.335,14.673,16.404,18.749,22.155,27.673,12.686,13.632,14.798,16.280,18.247,21.026,25.360,NULL,24.044,24.082,40.453,39.086,126.823,126.437,145.694,145.144,14.004,14.215,20.452,19.636
3514,19.428,22.271,25.833,30.404,36.399,44.537,55.995,19.791,22.439,25.737,29.933,35.412,42.788,53.133,117.402,123.693,129.985,136.276,142.567,148.858,155.150,117.094,123.331,129.568,135.805,142.041,148.279,154.515,12.264,13.336,14.674,16.405,18.751,22.158,27.678,12.687,13.633,14.799,16.281,18.248,21.029,25.365,NULL,24.052,24.088,40.468,39.100,126.839,126.450,145.712,145.160,14.005,14.216,20.455,19.638
3515,19.434,22.278,25.841,30.415,36.412,44.553,56.017,19.795,22.445,25.743,29.941,35.423,42.804,53.157,117.417,123.709,130.001,136.293,142.585,148.877,155.169,117.105,123.344,129.581,135.819,142.057,148.295,154.532,12.265,13.337,14.675,16.407,18.753,22.161,27.683,12.687,13.634,14.800,16.282,18.250,21.031,25.370,NULL,24.060,24.094,40.483,39.114,126.855,126.463,145.731,145.176,14.006,14.217,20.457,19.641
3516,19.440,22.285,25.850,30.425,36.425,44.570,56.040,19.800,22.450,25.750,29.950,35.435,42.820,53.180,117.432,123.725,130.017,136.310,142.603,148.896,155.189,117.117,123.356,129.594,135.834,142.072,148.311,154.550,12.266,13.338,14.677,16.408,18.755,22.164,27.689,12.688,13.634,14.801,16.283,18.252,21.034,25.375,NULL,24.067,24.100,40.498,39.127,126.871,126.475,145.749,145.192,14.007,14.218,20.459,19.643
3517,19.446,22.292,25.859,30.435,36.438,44.587,56.063,19.805,22.455,25.757,29.959,35.447,42.836,53.203,117.447,123.740,130.034,136.327,142.621,148.914,155.208,117.128,123.368,129.608,135.848,142.087,148.328,154.568,12.267,13.338,14.678,16.409,18.757,22.167,27.694,12.689,13.635,14.802,16.284,18.253,21.037,25.380,NULL,24.075,24.106,40.512,39.141,126.887,126.488,145.767,145.208,14.008,14.219,20.462,19.645
3518,19.452,22.299,25.867,30.446,36.451,44.603,56.085,19.809,22.461,25.763,29.967,35.458,42.852,53.227,117.462,123.756,130.050,136.344,142.639,148.933,155.227,117.139,123.381,129.621,135.862,142.103,148.344,154.585,12.268,13.339,14.679,16.411,18.759,22.170,27.699,12.689,13.636,14.803,16.285,18.255,21.039,25.385,NULL,24.083,24.112,40.527,39.155,126.903,126.501,145.786,145.224,14.009,14.219,20.464,19.647
3519,19.458,22.306,25.876,30.456,36.464,44.620,56.108,19.814,22.466,25.770,29.976,35.470,42.868,53.250,117.477,123.771,130.067,136.361,142.657,148.951,155.247,117.151,123.393,129.635,135.877,142.118,148.361,154.603,12.268,13.340,14.680,16.412,18.761,22.173,27.704,12.690,13.637,14.804,16.286,18.256,21.042,25.390,NULL,24.091,24.118,40.542,39.169,126.919,126.514,145.804,145.240,14.010,14.220,20.467,19.649
3520,19.464,22.313,25.885,30.466,36.477,44.637,56.131,19.819,22.471,25.777,29.985,35.482,42.884,53.273,117.491,123.787,130.083,136.379,142.674,148.970,155.266,117.162,123.406,129.648,135.891,142.134,148.377,154.620,12.269,13.341,14.681,16.414,18.763,22.176,27.709,12.690,13.637,14.804,16.288,18.258,21.045,25.395,NULL,24.099,24.124,40.557,39.183,126.935,126.527,145.822,145.256,14.011,14.221,20.469,19.651
